type,name,target,art,description,flavor
status,The Fool,Self,jester-hat,You may only use your non-dominant hand as long as you hold this card.,Don't you dare to spill your drink on this game!
status,Grandpa,Self,toad-teeth,You may not show your teeth while holding this card.,Grandpa lost his dentures
status,Caveman,Self,muscle-fat,"As long as you hold this card, you can only say three words at a time.",,"Beer ... is ... good."
status,Twitter,Self,bird-twitter,"While holding this card you must start every sentence with 'hashtag'.",#AwesomeGame #Wasted
status,Knifes Edge,???,curvy-knife,"Ask everyone to come up with any rule for this status card. Don't read the rest of this card out loud until they have.
Done? The card applies to the player who came up with the rule!",Is it worth the risk?
status,Knifes Edge,???,curvy-knife,"Ask everyone to come up with any rule for this status card. Don't read the rest of this card out loud until they have.
Done? The effect that was chosen for this status card applies to you!",Is it worth the risk?
status,Wear it Backwards,Self,shadow-follower,"While holding this card, wear an article of clothing backwards.",XXXXX TODO XXXXX
status,Sherrif,Self,law-star,"While you hold this card, other players may try to cheat when being forced to drink. If you notice, they drink double. If you don't, you drink what they left out.",The law is the law
status,Lawyer,Self,scales,Make up a rule. It is active as long as this card is in play.,Objection!
status,Merge,Self,telepathy,"Merge with the player to your right, causing you to function as a single player. You share all statuses and actions always targeted both of you. On your turn, cast dice once and move both figures.",Who of us is the evil twin?
active,Rock Paper Scissors,Self,paper,Play Rock Paper Scissors once against everyone. Gain a bottle:bottle: for each win. Drink:beer: for each loss.,Lizard poisons Spock.
active,Redshirt,All,chain-mail,The person with the reddest shirt finishes their drink.,No officers or engineers were harmed in the making of this game.
active,"Feminism, bitch!",Self,female,Name 5 famous women from history. Dink:beer: once for each you fall short. Got all 5? Have 3 bottles:bottle:., XXXXX TODO XXXXX
active,"Go Home...",Self, house, ... You're Drunk. Move to the Frat House., Home is where the beer is
active,Lick Someone,Self,lizard-tongue,"You know, lick someone. Also, have a bottle:bottle:", XXXX TODO XXXXX
active,Lovahs,All,charm,Everyone in a relationship drinks:beer:.,XXXX TODO XXXX
active,Lone Wolf,All,love-howl,Everyone who is single drinks:beer:.,XXXX TODO XXXXX
active,Get Inked,Self,quill-ink,"Get someone to draw on you. Who, Where and What: You get to choose two, they choose the other.","Trust me, you don't want to leave out 'Where'."
active,Pickup,Self,heart-inside,"Use a pickup line on someone.",Did it hurt when you fell from heaven?
active,Four Eyes,All,spectacles,Drink:beer: if you wear glasses.,XXXXXX TODO XXXXX
active,Something Cute?,Self,lock-spy,"Guess the color of everyones underwear. For each wrong guess,you drink:beer: once. For every correct guess, they drink:beer: twice.","I SEE LONDON, I SEE FRANCE"
active,Thousand-Yard Stare,Self,angry-eyes,Enter a staring contest with the player to the left. Whoever wins gets three bottles:bottle:. The loser drinks:beer: three.,"War, war never changes"
